name,type,constraints,description,notes
TICKET_ID,UUID,NOT NULL. REFERENCES tickets(ID) ON DELETE CASCADE,,Composite PK (TICKET_ID + TAG_ID)
TAG_ID,UUID,NOT NULL. REFERENCES tags(ID) ON DELETE CASCADE,,Composite PK (TICKET_ID + TAG_ID)
